group,names,scores,logfoldchanges,pvals,pvals_adj,regulation
0,Fcrl5,3.635,5.442,0.0,0.001,up
0,Cd300e,19.401,4.63,0.0,0.0,up
0,Lipg,3.438,3.581,0.001,0.003,up
0,C1qc,42.857,3.489,0.0,0.0,up
0,C1qa,40.684,3.444,0.0,0.0,up
0,Klra17,7.863,3.354,0.0,0.0,up
0,C1qb,40.131,3.343,0.0,0.0,up
0,Rarres1,3.947,3.176,0.0,0.0,up
0,Lilra5,2.729,3.113,0.006,0.023,up
0,Slamf9,36.174,3.051,0.0,0.0,up
0,Prf1,-3.736,-6.043,0.0,0.001,down
0,Cdh19,-3.397,-6.096,0.001,0.003,down
0,Sit1,-3.472,-6.13,0.001,0.002,down
0,Mcam,-2.438,-6.178,0.015,0.049,down
0,Celsr2,-2.868,-6.194,0.004,0.016,down
0,Dlx6,-3.736,-6.413,0.0,0.001,down
0,9530059O14Rik,-4.192,-6.519,0.0,0.0,down
0,Gm20618,-4.795,-6.596,0.0,0.0,down
0,Dusp14,-3.599,-6.608,0.0,0.002,down
0,Perp,-2.577,-6.641,0.01,0.035,down
1,Cd3g,57.693,7.751,0.0,0.0,up
1,Atcay,2.678,7.499,0.007,0.021,up
1,Exph5,8.375,7.426,0.0,0.0,up
1,Cxcr6,45.206,7.299,0.0,0.0,up
1,Gzmk,17.232,7.236,0.0,0.0,up
1,Cd8b1,50.488,7.222,0.0,0.0,up
1,Cd3d,57.283,7.172,0.0,0.0,up
1,Pdcd1,43.599,7.14,0.0,0.0,up
1,Cd8a,50.007,7.111,0.0,0.0,up
1,Nkg7,56.193,7.083,0.0,0.0,up
1,Arfgef3,-5.361,-6.718,0.0,0.0,down
1,Cpne4,-3.701,-6.718,0.0,0.001,down
1,Cdc42ep5,-6.663,-6.748,0.0,0.0,down
1,Alx1,-5.029,-6.921,0.0,0.0,down
1,Cd163,-4.73,-6.983,0.0,0.0,down
1,Zfyve9,-4.163,-7.098,0.0,0.0,down
1,Bnc2,-5.137,-7.351,0.0,0.0,down
1,Hspb2,-7.148,-7.392,0.0,0.0,down
1,Gpx8,-5.814,-7.847,0.0,0.0,down
1,Phactr1,-6.426,-8.289,0.0,0.0,down
2,Cd177,3.594,4.98,0.0,0.001,up
2,Serpinb10,4.13,4.11,0.0,0.0,up
2,Gm9733,18.982,4.015,0.0,0.0,up
2,Il1b,38.158,3.934,0.0,0.0,up
2,Hp,13.955,3.773,0.0,0.0,up
2,Ly6i,20.345,3.767,0.0,0.0,up
2,Dmkn,5.523,3.603,0.0,0.0,up
2,Chil3,17.66,3.529,0.0,0.0,up
2,Ccr2,40.804,3.356,0.0,0.0,up
2,Plac8,39.667,3.353,0.0,0.0,up
2,Hmmr,-9.569,-6.431,0.0,0.0,down
2,Trim63,-4.931,-6.477,0.0,0.0,down
2,Tbx21,-3.755,-6.485,0.0,0.001,down
2,Gldc,-3.31,-6.491,0.001,0.003,down
2,Nrn1,-2.772,-6.5,0.006,0.013,down
2,Cxcr6,-9.043,-6.516,0.0,0.0,down
