CELL TYPE SCORE MATRIX
leiden,Dendritic_cell,Macrophage,Monocyte,NK,Neutrophil,pDC,Treg,CD8_T,CD4_T,MDSC,probable_cluster
0,0.8814,1.5658,0.5412,-0.0966,0.0152,0.2191,-0.1476,-0.3331,-0.0821,-0.0073,Macrophage
1,0.3099,0.0315,-0.336,1.0821,-0.716,-0.1277,0.1406,1.5188,-0.1098,0.0514,CD8_T
2,1.4655,2.2202,0.84,-0.0241,0.6474,0.1799,-0.2319,-0.3166,-0.0437,0.3016,Macrophage
3,0.7103,1.2411,0.872,-0.2764,1.1883,0.2364,0.1199,-0.3087,-0.1525,-0.0018,Macrophage
4,1.1761,1.5486,0.6646,0.1072,1.4145,0.0772,-0.1474,-0.2986,0.1733,0.1217,Macrophage
6,1.3021,1.8815,0.5228,-0.2421,-0.4994,0.422,-0.3509,-0.2598,-0.0598,0.0702,Macrophage
7,0.0255,-0.1979,-0.3297,0.6758,-0.7917,0.0202,-0.0559,0.7181,0.0475,0.0379,CD8_T
8,0.999,2.0306,0.1388,-0.3928,-0.835,0.6305,-0.2634,-0.2069,-0.1162,-0.0847,Macrophage
9,0.8932,2.4324,0.8181,-0.438,1.3275,-0.112,-0.2601,-0.277,0.0467,0.0429,Macrophage
10,0.4552,1.3876,0.0343,-0.4344,-0.5831,0.5435,-0.3136,-0.1642,0.0285,-0.11,Macrophage

TOP 10 UPREGULATED DEGs PER CLUSTER
group,names,scores,logfoldchanges,pvals,pvals_adj,regulation
0,Fcrl5,3.635,5.442,0.0,0.001,up
0,Cd300e,19.401,4.63,0.0,0.0,up
0,Lipg,3.438,3.581,0.001,0.003,up
0,C1qc,42.857,3.489,0.0,0.0,up
0,C1qa,40.684,3.444,0.0,0.0,up
0,Klra17,7.863,3.354,0.0,0.0,up
0,C1qb,40.131,3.343,0.0,0.0,up
0,Rarres1,3.947,3.176,0.0,0.0,up
0,Lilra5,2.729,3.113,0.006,0.023,up
0,Slamf9,36.174,3.051,0.0,0.0,up
1,Cd3g,57.693,7.751,0.0,0.0,up
1,Atcay,2.678,7.499,0.007,0.021,up
1,Exph5,8.375,7.426,0.0,0.0,up
1,Cxcr6,45.206,7.299,0.0,0.0,up
1,Gzmk,17.232,7.236,0.0,0.0,up
1,Cd8b1,50.488,7.222,0.0,0.0,up
1,Cd3d,57.283,7.172,0.0,0.0,up
1,Pdcd1,43.599,7.14,0.0,0.0,up
1,Cd8a,50.007,7.111,0.0,0.0,up
1,Nkg7,56.193,7.083,0.0,0.0,up
2,Cd177,3.594,4.98,0.0,0.001,up
2,Serpinb10,4.13,4.11,0.0,0.0,up
2,Gm9733,18.982,4.015,0.0,0.0,up
2,Il1b,38.158,3.934,0.0,0.0,up
2,Hp,13.955,3.773,0.0,0.0,up
2,Ly6i,20.345,3.767,0.0,0.0,up
2,Dmkn,5.523,3.603,0.0,0.0,up
2,Chil3,17.66,3.529,0.0,0.0,up
2,Ccr2,40.804,3.356,0.0,0.0,up
2,Plac8,39.667,3.353,0.0,0.0,up
