names,scores,logfoldchanges,pvals,pvals_adj,leiden,n_case,n_control,cell_type
Ifi27l2a,11.295,1.048,0.0,0.0,0,767,862,M1_Macrophage
Bcl2a1d,9.14,1.097,0.0,0.0,0,767,862,M1_Macrophage
Rpl23a,8.763,1.076,0.0,0.0,0,767,862,M1_Macrophage
Hspa1a,7.702,1.428,0.0,0.0,0,767,862,M1_Macrophage
Sirpb1a,7.077,1.437,0.0,0.0,0,767,862,M1_Macrophage
Ly6c2,5.269,1.37,0.0,0.0,0,767,862,M1_Macrophage
Gm7676,3.809,1.276,0.0,0.008,0,767,862,M1_Macrophage
Gm17087,3.649,1.127,0.0,0.014,0,767,862,M1_Macrophage
Fkbp5,-3.307,-1.157,0.001,0.038,0,767,862,M1_Macrophage
Klf9,-3.355,-2.329,0.001,0.033,0,767,862,M1_Macrophage
Npl,-3.583,-1.644,0.0,0.017,0,767,862,M1_Macrophage
Mpst,-3.698,-1.188,0.0,0.012,0,767,862,M1_Macrophage
Impdh1,-3.819,-1.243,0.0,0.008,0,767,862,M1_Macrophage
S100a8,-3.822,-2.841,0.0,0.008,0,767,862,M1_Macrophage
Adgre5,-4.009,-1.092,0.0,0.004,0,767,862,M1_Macrophage
Clec5a,-4.174,-1.023,0.0,0.002,0,767,862,M1_Macrophage
Ddhd1,-4.195,-1.052,0.0,0.002,0,767,862,M1_Macrophage
Gpx3,-4.288,-1.496,0.0,0.001,0,767,862,M1_Macrophage
Clec4e,-4.311,-1.471,0.0,0.001,0,767,862,M1_Macrophage
Ms4a8a,-4.817,-1.554,0.0,0.0,0,767,862,M1_Macrophage
Emp1,-6.561,-1.024,0.0,0.0,0,767,862,M1_Macrophage
Egr1,-6.627,-1.043,0.0,0.0,0,767,862,M1_Macrophage
Hbb-bs,-6.79,-7.339,0.0,0.0,0,767,862,M1_Macrophage
Mt2,-6.843,-1.413,0.0,0.0,0,767,862,M1_Macrophage
Adssl1,-6.982,-1.099,0.0,0.0,0,767,862,M1_Macrophage
F13a1,-7.356,-1.746,0.0,0.0,0,767,862,M1_Macrophage
Emb,-7.379,-1.011,0.0,0.0,0,767,862,M1_Macrophage
Saa3,-7.657,-3.641,0.0,0.0,0,767,862,M1_Macrophage
Trf,-7.727,-1.292,0.0,0.0,0,767,862,M1_Macrophage
Cd38,-8.604,-1.117,0.0,0.0,0,767,862,M1_Macrophage
Arg1,-8.642,-2.134,0.0,0.0,0,767,862,M1_Macrophage
Pf4,-8.773,-1.041,0.0,0.0,0,767,862,M1_Macrophage
Gda,-9.579,-1.055,0.0,0.0,0,767,862,M1_Macrophage
Ccl6,-9.603,-1.034,0.0,0.0,0,767,862,M1_Macrophage
Pla2g7,-10.159,-1.367,0.0,0.0,0,767,862,M1_Macrophage
Mgst1,-10.981,-1.435,0.0,0.0,0,767,862,M1_Macrophage
Apoe,-12.703,-1.802,0.0,0.0,0,767,862,M1_Macrophage
Ifi27l2a,16.112,2.011,0.0,0.0,1,788,587,CD8_T
Rpl23a,10.835,1.0,0.0,0.0,1,788,587,CD8_T
Isg15,5.498,1.204,0.0,0.0,1,788,587,CD8_T
Rtp4,5.042,1.411,0.0,0.0,1,788,587,CD8_T
Hist1h2ap,4.676,1.605,0.0,0.0,1,788,587,CD8_T
Pydc4,4.024,1.739,0.0,0.006,1,788,587,CD8_T
Irf7,3.973,1.021,0.0,0.007,1,788,587,CD8_T
Gm4955,3.661,1.209,0.0,0.02,1,788,587,CD8_T
Gm28727,3.485,1.269,0.0,0.034,1,788,587,CD8_T
Tff1,-3.446,-1.202,0.001,0.038,1,788,587,CD8_T
Exph5,-3.56,-1.209,0.0,0.027,1,788,587,CD8_T
Slc16a11,-3.615,-1.278,0.0,0.023,1,788,587,CD8_T
Ccdc184,-3.704,-1.373,0.0,0.017,1,788,587,CD8_T
Saa3,-4.361,-3.862,0.0,0.002,1,788,587,CD8_T
Hbb-bs,-4.977,-26.818,0.0,0.0,1,788,587,CD8_T
Serpinb9b,-5.309,-2.498,0.0,0.0,1,788,587,CD8_T
Il1r2,-5.454,-1.421,0.0,0.0,1,788,587,CD8_T
Gzmd,-5.796,-3.235,0.0,0.0,1,788,587,CD8_T
Sepp1,-5.992,-1.088,0.0,0.0,1,788,587,CD8_T
Pf4,-6.163,-1.306,0.0,0.0,1,788,587,CD8_T
Igfbp7,-6.187,-1.508,0.0,0.0,1,788,587,CD8_T
Gzme,-6.441,-2.96,0.0,0.0,1,788,587,CD8_T
Gldc,-7.755,-1.416,0.0,0.0,1,788,587,CD8_T
Gzmc,-8.212,-1.942,0.0,0.0,1,788,587,CD8_T
Hilpda,-8.409,-1.027,0.0,0.0,1,788,587,CD8_T
Nrgn,-8.618,-1.152,0.0,0.0,1,788,587,CD8_T
Serpinb9,-9.061,-1.013,0.0,0.0,1,788,587,CD8_T
