names,scores,logfoldchanges,pvals,pvals_adj,leiden,n_case,n_control
Ifi27l2a,11.295,1.048,0.0,0.0,0,767,862
Bcl2a1d,9.14,1.097,0.0,0.0,0,767,862
Rpl23a,8.763,1.076,0.0,0.0,0,767,862
Hspa1a,7.702,1.428,0.0,0.0,0,767,862
Sirpb1a,7.077,1.437,0.0,0.0,0,767,862
Ly6c2,5.269,1.37,0.0,0.0,0,767,862
Gm7676,3.809,1.276,0.0,0.008,0,767,862
Gm17087,3.649,1.127,0.0,0.014,0,767,862
Fkbp5,-3.307,-1.157,0.001,0.038,0,767,862
Klf9,-3.355,-2.329,0.001,0.033,0,767,862
Npl,-3.583,-1.644,0.0,0.017,0,767,862
Mpst,-3.698,-1.188,0.0,0.012,0,767,862
Impdh1,-3.819,-1.243,0.0,0.008,0,767,862
S100a8,-3.822,-2.841,0.0,0.008,0,767,862
Adgre5,-4.009,-1.092,0.0,0.004,0,767,862
Clec5a,-4.174,-1.023,0.0,0.002,0,767,862
Ddhd1,-4.195,-1.052,0.0,0.002,0,767,862
Gpx3,-4.288,-1.496,0.0,0.001,0,767,862
Clec4e,-4.311,-1.471,0.0,0.001,0,767,862
Ms4a8a,-4.817,-1.554,0.0,0.0,0,767,862
Emp1,-6.561,-1.024,0.0,0.0,0,767,862
Egr1,-6.627,-1.043,0.0,0.0,0,767,862
Hbb-bs,-6.79,-7.339,0.0,0.0,0,767,862
Mt2,-6.843,-1.413,0.0,0.0,0,767,862
Adssl1,-6.982,-1.099,0.0,0.0,0,767,862
F13a1,-7.356,-1.746,0.0,0.0,0,767,862
Emb,-7.379,-1.011,0.0,0.0,0,767,862
Saa3,-7.657,-3.641,0.0,0.0,0,767,862
Trf,-7.727,-1.292,0.0,0.0,0,767,862
Cd38,-8.604,-1.117,0.0,0.0,0,767,862
Arg1,-8.642,-2.134,0.0,0.0,0,767,862
Pf4,-8.773,-1.041,0.0,0.0,0,767,862
Gda,-9.579,-1.055,0.0,0.0,0,767,862
Ccl6,-9.603,-1.034,0.0,0.0,0,767,862
Pla2g7,-10.159,-1.367,0.0,0.0,0,767,862
Mgst1,-10.981,-1.435,0.0,0.0,0,767,862
Apoe,-12.703,-1.802,0.0,0.0,0,767,862
Ifi27l2a,16.112,2.011,0.0,0.0,1,788,587
Rpl23a,10.835,1.0,0.0,0.0,1,788,587
Isg15,5.498,1.204,0.0,0.0,1,788,587
